title,genres
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
Mr. Wrong (1996),Comedy
Unforgettable (1996),Mystery|Sci-Fi|Thriller
Happy Gilmore (1996),Comedy
"Bridges of Madison County, The (1995)",Drama|Romance
Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
Catwalk (1996),Documentary
Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
Braveheart (1995),Action|Drama|War
Taxi Driver (1976),Crime|Drama|Thriller
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
Before and After (1996),Drama|Mystery
Margaret's Museum (1995),Drama
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
Anne Frank Remembered (1995),Documentary
"Young Poisoner's Handbook, The (1995)",Crime|Drama
If Lucy Fell (1996),Comedy|Romance
"Steal Big, Steal Little (1995)",Comedy
Race the Sun (1996),Adventure|Comedy|Drama
"Boys of St. Vincent, The (1992)",Drama
Boomerang (1992),Comedy|Romance
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
Flirting With Disaster (1996),Comedy
"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
Jupiter's Wife (1994),Documentary
Pie in the Sky (1996),Comedy|Romance
Angela (1995),Drama
Frankie Starlight (1995),Drama|Romance
Jade (1995),Thriller
Nueba Yol (1995),Comedy|Drama
Sonic Outlaws (1995),Documentary
Down Periscope (1996),Comedy
From the Journals of Jean Seberg (1995),Documentary
Man of the Year (1995),Documentary
"Neon Bible, The (1995)",Drama
Target (1995),Action|Drama
Up Close and Personal (1996),Drama|Romance
"Birdcage, The (1996)",Comedy
Shadows (Cienie) (1988),Drama
Gospa (1995),Drama
"Brothers McMullen, The (1995)",Comedy
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
"Amazing Panda Adventure, The (1995)",Adventure|Children
"Basketball Diaries, The (1995)",Drama
"Awfully Big Adventure, An (1995)",Drama
Amateur (1994),Crime|Drama|Thriller
Apollo 13 (1995),Adventure|Drama|IMAX
Rob Roy (1995),Action|Drama|Romance|War
"Addiction, The (1995)",Drama|Horror
Batman Forever (1995),Action|Adventure|Comedy|Crime
Beauty of the Day (Belle de jour) (1967),Drama
Beyond Rangoon (1995),Adventure|Drama|War
Blue in the Face (1995),Comedy|Drama
Canadian Bacon (1995),Comedy|War
Casper (1995),Adventure|Children
Clockers (1995),Crime|Drama|Mystery
Congo (1995),Action|Adventure|Mystery|Sci-Fi
Crimson Tide (1995),Drama|Thriller|War
Crumb (1994),Documentary
Desperado (1995),Action|Romance|Western
Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
Die Hard: With a Vengeance (1995),Action|Crime|Thriller
"Doom Generation, The (1995)",Comedy|Crime|Drama
Feast of July (1995),Drama
First Knight (1995),Action|Drama|Romance
Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
Hackers (1995),Action|Adventure|Crime|Thriller
Jeffrey (1995),Comedy|Drama
Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
Judge Dredd (1995),Action|Crime|Sci-Fi
Jury Duty (1995),Comedy
Kids (1995),Drama
Living in Oblivion (1995),Comedy
Lord of Illusions (1995),Horror
Love & Human Remains (1993),Comedy|Drama
Mad Love (1995),Drama|Romance
Mallrats (1995),Comedy|Romance
Mighty Morphin Power Rangers: The Movie (1995),Action|Children
Moonlight and Valentino (1995),Drama|Romance
Mute Witness (1994),Comedy|Horror|Thriller
Nadja (1994),Drama
"Net, The (1995)",Action|Crime|Thriller
Nine Months (1995),Comedy|Romance
Party Girl (1995),Comedy
"Prophecy, The (1995)",Fantasy|Horror|Mystery
Reckless (1995),Comedy|Fantasy
Safe (1995),Thriller
"Scarlet Letter, The (1995)",Drama|Romance
The Show (1995),Documentary
Showgirls (1995),Drama
Smoke (1995),Comedy|Drama
Something to Talk About (1995),Comedy|Drama|Romance
Species (1995),Horror|Sci-Fi
"Stars Fell on Henrietta, The (1995)",Drama
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
"Tie That Binds, The (1995)",Thriller
Three Wishes (1995),Drama|Fantasy
Total Eclipse (1995),Drama|Romance
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
Under Siege 2: Dark Territory (1995),Action
Unstrung Heroes (1995),Comedy|Drama
Unzipped (1995),Documentary
"Walk in the Clouds, A (1995)",Drama|Romance
Waterworld (1995),Action|Adventure|Sci-Fi
White Man's Burden (1995),Drama
Wild Bill (1995),Western
"Browning Version, The (1994)",Drama
Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
Before the Rain (Pred dozhdot) (1994),Drama|War
Before Sunrise (1995),Drama|Romance
Billy Madison (1995),Comedy
"Babysitter, The (1995)",Drama|Thriller
Boys on the Side (1995),Comedy|Drama
"Cure, The (1995)",Drama
Castle Freak (1995),Horror
Circle of Friends (1995),Drama|Romance
Clerks (1994),Comedy
Don Juan DeMarco (1995),Comedy|Drama|Romance
Disclosure (1994),Drama|Thriller
Dream Man (1995),Thriller
Drop Zone (1994),Action|Thriller
Destiny Turns on the Radio (1995),Comedy
Death and the Maiden (1994),Drama|Thriller
Dolores Claiborne (1995),Drama|Thriller
Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
Exotica (1994),Drama
Exit to Eden (1994),Comedy
Ed Wood (1994),Comedy|Drama
French Kiss (1995),Action|Comedy|Romance
Forget Paris (1995),Comedy|Romance
Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
Hideaway (1995),Thriller
Fluke (1995),Children|Drama
Farinelli: il castrato (1994),Drama|Musical
Gordy (1995),Children|Comedy|Fantasy
Gumby: The Movie (1995),Animation|Children
The Glass Shield (1994),Crime|Drama
Hoop Dreams (1994),Documentary
Heavenly Creatures (1994),Crime|Drama
Houseguest (1994),Comedy
Immortal Beloved (1994),Drama|Romance
Heavyweights (Heavy Weights) (1995),Children|Comedy
"Hunted, The (1995)",Action
I.Q. (1994),Comedy|Romance
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
Jefferson in Paris (1995),Drama
"Jerky Boys, The (1995)",Comedy
Junior (1994),Comedy|Sci-Fi
Just Cause (1995),Mystery|Thriller
"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
Kiss of Death (1995),Crime|Drama|Thriller
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
Little Women (1994),Drama
"Little Princess, A (1995)",Children|Drama
Ladybird Ladybird (1994),Drama
"Enfer, L' (1994)",Drama
Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
Legends of the Fall (1994),Drama|Romance|War|Western
Major Payne (1995),Comedy
Little Odessa (1994),Crime|Drama
My Crazy Life (Mi vida loca) (1993),Drama
Love Affair (1994),Drama|Romance
Losing Isaiah (1995),Drama
"Madness of King George, The (1994)",Comedy|Drama
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
Man of the House (1995),Comedy
Mixed Nuts (1994),Comedy
Milk Money (1994),Comedy|Romance
Miracle on 34th Street (1994),Drama
Miami Rhapsody (1995),Comedy
My Family (1995),Drama
Murder in the First (1995),Drama|Thriller
Nobody's Fool (1994),Comedy|Drama|Romance
Nell (1994),Drama
New Jersey Drive (1995),Crime|Drama
New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
Beyond Bedlam (1993),Drama|Horror
Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
Nina Takes a Lover (1994),Comedy|Romance
Natural Born Killers (1994),Action|Crime|Thriller
Only You (1994),Comedy|Romance
Once Were Warriors (1994),Crime|Drama
Outbreak (1995),Action|Drama|Sci-Fi|Thriller
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
"Perez Family, The (1995)",Comedy|Romance
"Pyromaniac's Love Story, A (1995)",Comedy|Romance
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
Panther (1995),Drama
Pushing Hands (Tui shou) (1992),Drama
Priest (1994),Drama
Quiz Show (1994),Drama
Picture Bride (Bijo photo) (1994),Drama|Romance
"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
"Quick and the Dead, The (1995)",Action|Thriller|Western
Roommates (1995),Comedy|Drama
Ready to Wear (Pret-A-Porter) (1994),Comedy
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
Rent-a-Kid (1995),Comedy
Relative Fear (1994),Horror|Thriller
Stuart Saves His Family (1995),Comedy
"Swan Princess, The (1994)",Animation|Children
"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
"Specialist, The (1994)",Action|Drama|Thriller
Stargate (1994),Action|Adventure|Sci-Fi
"Santa Clause, The (1994)",Comedy|Drama|Fantasy
"Shawshank Redemption, The (1994)",Crime|Drama
Shallow Grave (1994),Comedy|Drama|Thriller
Suture (1993),Film-Noir|Thriller
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
Swimming with Sharks (1995),Comedy|Drama
"Sum of Us, The (1994)",Comedy|Drama
National Lampoon's Senior Trip (1995),Comedy
To Live (Huozhe) (1994),Drama
Tank Girl (1995),Action|Comedy|Sci-Fi
Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
Tales from the Hood (1995),Action|Crime|Horror
Tom & Viv (1994),Drama
Village of the Damned (1995),Horror|Sci-Fi
Tommy Boy (1995),Comedy
Vanya on 42nd Street (1994),Drama
Underneath (1995),Mystery|Thriller
"Walking Dead, The (1995)",Drama|War
What's Eating Gilbert Grape (1993),Drama
Virtuosity (1995),Action|Sci-Fi|Thriller
While You Were Sleeping (1995),Comedy|Romance
"War, The (1994)",Adventure|Drama|War
Double Happiness (1994),Drama
Muriel's Wedding (1994),Comedy
"Baby-Sitters Club, The (1995)",Children
Ace Ventura: Pet Detective (1994),Comedy
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
Backbeat (1993),Drama|Musical
Bitter Moon (1992),Drama|Film-Noir|Romance
Bullets Over Broadway (1994),Comedy
Clear and Present Danger (1994),Action|Crime|Drama|Thriller
"Client, The (1994)",Drama|Mystery|Thriller
"Corrina, Corrina (1994)",Comedy|Drama|Romance
Crooklyn (1994),Comedy|Drama
"Crow, The (1994)",Action|Crime|Fantasy|Thriller
Cobb (1994),Drama
"Flintstones, The (1994)",Children|Comedy|Fantasy
Forrest Gump (1994),Comedy|Drama|Romance|War
Four Weddings and a Funeral (1994),Comedy|Romance
Higher Learning (1995),Drama
I Like It Like That (1994),Comedy|Drama|Romance
I Love Trouble (1994),Action|Comedy
It Could Happen to You (1994),Comedy|Drama|Romance
"Jungle Book, The (1994)",Adventure|Children|Romance
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
Little Buddha (1993),Drama
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
"Mask, The (1994)",Action|Comedy|Crime|Fantasy
Maverick (1994),Adventure|Comedy|Western
Mrs. Parker and the Vicious Circle (1994),Drama
Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
"Paper, The (1994)",Comedy|Drama
Reality Bites (1994),Comedy|Drama|Romance
Red Rock West (1992),Thriller
Richie Rich (1994),Children|Comedy
Safe Passage (1994),Drama
"River Wild, The (1994)",Action|Thriller
Speed (1994),Action|Romance|Thriller
Speechless (1994),Comedy|Romance
Timecop (1994),Action|Sci-Fi|Thriller
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
When a Man Loves a Woman (1994),Drama|Romance
Wolf (1994),Drama|Horror|Romance|Thriller
Wyatt Earp (1994),Western
Bad Company (1995),Action|Crime|Drama
"Man of No Importance, A (1994)",Drama
S.F.W. (1994),Drama
"Low Down Dirty Shame, A (1994)",Action|Comedy
Boys Life (1995),Drama
"Colonel Chabert, Le (1994)",Drama|Romance|War
Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
Jason's Lyric (1994),Crime|Drama
"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
Street Fighter (1994),Action|Adventure|Fantasy
Coldblooded (1995),Comedy
Desert Winds (1995),Drama|Fantasy|Romance
Fall Time (1995),Drama
"Fear, The (1995)",Horror
Frank and Ollie (1995),Documentary
Girl in the Cadillac (1995),Drama
Homage (1995),Drama
Mirage (1995),Action|Thriller
Open Season (1996),Comedy
Two Crimes (Dos crímenes) (1995),Comedy|Crime|Drama
Brother Minister: The Assassination of Malcolm X (1994),Documentary
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
Federal Hill (1994),Drama
In the Mouth of Madness (1995),Horror|Thriller
8 Seconds (1994),Drama
Above the Rim (1994),Crime|Drama
Addams Family Values (1993),Children|Comedy|Fantasy
Martin Lawrence: You So Crazy (1994),Comedy|Documentary
"Age of Innocence, The (1993)",Drama
Airheads (1994),Comedy
"Air Up There, The (1994)",Comedy
Another Stakeout (1993),Comedy|Thriller
Bad Girls (1994),Western
Barcelona (1994),Comedy|Romance
Being Human (1993),Drama
"Beverly Hillbillies, The (1993)",Comedy
Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
Black Beauty (1994),Adventure|Children|Drama
Blink (1994),Thriller
Blown Away (1994),Action|Thriller
Blue Chips (1994),Drama
Blue Sky (1994),Drama|Romance
Body Snatchers (1993),Horror|Sci-Fi|Thriller
Boxing Helena (1993),Drama|Mystery|Romance|Thriller
"Bronx Tale, A (1993)",Drama
Cabin Boy (1994),Comedy
Calendar Girl (1993),Comedy|Drama
Carlito's Way (1993),Crime|Drama
City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
Clean Slate (1994),Comedy
Cliffhanger (1993),Action|Adventure|Thriller
Coneheads (1993),Comedy|Sci-Fi
Color of Night (1994),Drama|Thriller
Cops and Robbersons (1994),Comedy
"Cowboy Way, The (1994)",Action|Comedy|Drama
Dangerous Game (1993),Drama
Dave (1993),Comedy|Romance
Dazed and Confused (1993),Comedy
Demolition Man (1993),Action|Adventure|Sci-Fi
"Endless Summer 2, The (1994)",Adventure|Documentary
Even Cowgirls Get the Blues (1993),Comedy|Romance
Fatal Instinct (1993),Comedy
Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
"Favor, The (1994)",Comedy|Romance
Fearless (1993),Drama
Fear of a Black Hat (1994),Comedy
With Honors (1994),Comedy|Drama
Flesh and Bone (1993),Drama|Mystery|Romance
Widows' Peak (1994),Drama
For Love or Money (1993),Comedy|Romance
"Firm, The (1993)",Drama|Thriller
Free Willy (1993),Adventure|Children|Drama
Fresh (1994),Crime|Drama|Thriller
"Fugitive, The (1993)",Thriller
Geronimo: An American Legend (1993),Drama|Western
"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
Getting Even with Dad (1994),Comedy
Go Fish (1994),Drama|Romance
"Good Man in Africa, A (1994)",Action|Adventure
Guilty as Sin (1993),Crime|Drama|Thriller
Hard Target (1993),Action|Adventure|Crime|Thriller
Heaven & Earth (1993),Action|Drama|War
Hot Shots! Part Deux (1993),Action|Comedy|War
Live Nude Girls (1995),Comedy
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
"House of the Spirits, The (1993)",Drama|Romance
House Party 3 (1994),Comedy
"Hudsucker Proxy, The (1994)",Comedy
I'll Do Anything (1994),Comedy|Drama
In the Army Now (1994),Comedy|War
In the Line of Fire (1993),Action|Thriller
In the Name of the Father (1993),Drama
"Inkwell, The (1994)",Comedy|Drama
What's Love Got to Do with It? (1993),Drama|Musical
Jimmy Hollywood (1994),Comedy|Crime|Drama
Judgment Night (1993),Action|Crime|Thriller
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
Kalifornia (1993),Drama|Thriller
Killing Zoe (1994),Crime|Drama|Thriller
King of the Hill (1993),Drama
Lassie (1994),Adventure|Children
Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
Life with Mikey (1993),Comedy
Lightning Jack (1994),Comedy|Western
M. Butterfly (1993),Drama|Romance
Made in America (1993),Comedy
Malice (1993),Thriller
"Man Without a Face, The (1993)",Drama
Manhattan Murder Mystery (1993),Comedy|Mystery
Menace II Society (1993),Action|Crime|Drama
Executive Decision (1996),Action|Adventure|Thriller
In the Realm of the Senses (Ai no corrida) (1976),Drama
What Happened Was... (1994),Comedy|Drama|Romance|Thriller
Much Ado About Nothing (1993),Comedy|Romance
Mr. Jones (1993),Drama|Romance
Mr. Wonderful (1993),Comedy|Romance
Mrs. Doubtfire (1993),Comedy|Drama
Naked (1993),Drama
"Next Karate Kid, The (1994)",Action|Children|Romance
"New Age, The (1994)",Drama
No Escape (1994),Action|Drama|Sci-Fi
North (1994),Comedy
Orlando (1992),Drama|Fantasy|Romance
"Perfect World, A (1993)",Crime|Drama|Thriller
Philadelphia (1993),Drama
"Piano, The (1993)",Drama|Romance
Poetic Justice (1993),Drama
"Program, The (1993)",Action|Drama
"Puppet Masters, The (1994)",Horror|Sci-Fi
Radioland Murders (1994),Comedy|Mystery|Romance
"Ref, The (1994)",Comedy
"Remains of the Day, The (1993)",Drama|Romance
Renaissance Man (1994),Comedy|Drama
Rising Sun (1993),Action|Drama|Mystery
"Road to Wellville, The (1994)",Comedy
RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
Robin Hood: Men in Tights (1993),Comedy
Romeo Is Bleeding (1993),Crime|Thriller
Romper Stomper (1992),Action|Drama
Ruby in Paradise (1993),Drama
Rudy (1993),Drama
"Saint of Fort Washington, The (1993)",Drama
"Savage Nights (Nuits fauves, Les) (1992)",Drama
Schindler's List (1993),Drama|War
"Scout, The (1994)",Comedy|Drama
Searching for Bobby Fischer (1993),Drama
Second Best (1994),Drama
"Secret Garden, The (1993)",Children|Drama
Serial Mom (1994),Comedy|Crime|Horror
"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
Shadowlands (1993),Drama|Romance
Short Cuts (1993),Drama
"Simple Twist of Fate, A (1994)",Drama
Sirens (1994),Drama
Six Degrees of Separation (1993),Drama
Sleepless in Seattle (1993),Comedy|Drama|Romance
Sliver (1993),Thriller
Blade Runner (1982),Action|Sci-Fi|Thriller
Son in Law (1993),Comedy|Drama|Romance
So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
Striking Distance (1993),Action|Crime
Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
Surviving the Game (1994),Action|Adventure|Thriller
Terminal Velocity (1994),Action|Mystery|Thriller
Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
Threesome (1994),Comedy|Romance
"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
Tombstone (1993),Action|Drama|Western
Trial by Jury (1994),Crime|Drama|Thriller
True Romance (1993),Crime|Thriller
"War Room, The (1993)",Documentary
"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
"Paris, France (1993)",Comedy
"Beans of Egypt, Maine, The (1994)",Drama
Killer (Bulletproof Heart) (1994),Drama|Thriller
Welcome to the Dollhouse (1995),Comedy|Drama
Germinal (1993),Drama|Romance
Chasers (1994),Comedy
Cronos (1993),Drama|Horror
Naked in New York (1994),Comedy|Romance
Kika (1993),Comedy|Drama
Bhaji on the Beach (1993),Comedy|Drama
Little Big League (1994),Comedy|Drama
"Slingshot, The (Kådisbellan) (1993)",Comedy|Drama
"Wedding Gift, The (1994)",Drama|Romance
Foreign Student (1994),Drama
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
Spanking the Monkey (1994),Comedy|Drama
"Little Rascals, The (1994)",Children|Comedy
Fausto (1993),Comedy
Andre (1994),Adventure|Children|Drama
"Escort, The (Scorta, La) (1993)",Crime|Thriller
Princess Caraboo (1994),Drama
"Celluloid Closet, The (1995)",Documentary
Métisse (Café au Lait) (1993),Comedy|Drama
Dear Diary (Caro Diario) (1994),Comedy|Drama
I Don't Want to Talk About It (De eso no se habla) (1993),Drama|Romance
"Brady Bunch Movie, The (1995)",Comedy
Home Alone (1990),Children|Comedy
Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
Terminator 2: Judgment Day (1991),Action|Sci-Fi
Dances with Wolves (1990),Adventure|Drama|Western
Tough and Deadly (1995),Action|Drama|Thriller
Batman (1989),Action|Crime|Thriller
"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
Pinocchio (1940),Animation|Children|Fantasy|Musical
Pretty Woman (1990),Comedy|Romance
Window to Paris (Okno v Parizh) (1994),Comedy|Fantasy
"Wild Bunch, The (1969)",Adventure|Western
Love and a .45 (1994),Action|Comedy|Crime
"Wooden Man's Bride, The (Yan shen) (1994)",Drama
"Great Day in Harlem, A (1994)",Documentary
"Bye Bye, Love (1995)",Comedy
Criminals (1996),Documentary
One Fine Day (1996),Drama|Romance
Candyman: Farewell to the Flesh (1995),Fantasy|Horror
Century (1993),Drama
Fargo (1996),Comedy|Crime|Drama|Thriller
Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
"Pallbearer, The (1996)",Comedy
Jane Eyre (1996),Drama|Romance
Loaded (1994),Drama|Thriller
Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama
"Aristocats, The (1970)",Animation|Children
"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama
Two Much (1995),Comedy|Romance
Ed (1996),Comedy
Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),Drama
My Favorite Season (1993),Drama
"Modern Affair, A (1995)",Romance
Asfour Stah (1990),Drama
"Thin Line Between Love and Hate, A (1996)",Comedy
"Last Supper, The (1995)",Drama|Thriller
Primal Fear (1996),Crime|Drama|Mystery|Thriller
Rude (1995),Drama
Carried Away (1996),Drama|Romance
All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
Land and Freedom (Tierra y libertad) (1995),Drama|War
Denise Calls Up (1995),Comedy
Theodore Rex (1995),Comedy
"Family Thing, A (1996)",Comedy|Drama
Frisk (1995),Drama
Sgt. Bilko (1996),Comedy
Jack and Sarah (1995),Romance
